ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
127,Monica,Davenport,11/7/63,Employee,67.509705,8,true,monicadavenport,Fun!23
128,Michelle,Holland,1/29/19,Employee,395.06744,4,false,michelleholland,Fun!23
129,Kyle,Hodges,12/8/73,Employee,19.964294,1,false,kylehodges,Fun!23
130,Paula,Wyatt,6/29/67,Employee,616.75085,2,true,paulawyatt,Fun!23
131,Shane,Miller,3/3/66,Employee,126.55806,1,true,shanemiller,Fun!23
132,Kimberly,Kline,3/31/92,Employee,25.257965,4,true,kimberlykline,Fun!23
133,Hannah,Arias,6/11/85,Employee,18.421051,2,false,hannaharias,Fun!23
134,Daniel,Hampton,11/16/62,Employee,289.08057,4,false,danielhampton,Fun!23
135,Jerry,Curtis,9/25/37,Employee,2.7857666,6,false,jerrycurtis,Fun!23
136,Jeffrey,Weiss,2/19/87,Employee,1188.1929,1,false,jeffreyweiss,Fun!23
137,Ronald,Parker,1/20/35,Employee,97.89508,2,true,ronaldparker,Fun!23
138,Christopher,Coleman,8/19/86,Employee,952.24115,8,true,christophercoleman,Fun!23
139,Thomas,Clark,10/2/77,Employee,181.87256,2,false,thomasclark,Fun!23
140,Ashley,Romero,5/4/24,Employee,180.22307,1,true,ashleyromero,Fun!23
141,Gail,Parker,12/22/26,Employee,28.096252,3,true,gailparker,Fun!23
142,Sean,Medina,9/4/16,Employee,1251.8425,1,true,seanmedina,Fun!23
143,Edward,Hernandez,11/17/28,Employee,475.1473,4,true,edwardhernandez,Fun!23
144,Todd,Brooks,7/1/64,Employee,5591.3257,3,false,toddbrooks,Fun!23
145,Richard,Torres,5/15/49,Employee,505.3463,1,true,richardtorres,Fun!23
146,David,Gardner,9/16/04,Employee,2704.3005,2,true,davidgardner,Fun!23
147,Rachel,Vasquez,10/31/81,Employee,1027.4707,3,false,rachelvasquez,Fun!23
148,Ashley,Evans,10/18/79,Employee,2247.1956,7,true,ashleyevans,Fun!23
149,Nancy,Morgan,11/18/84,Employee,1680.3665,7,false,nancymorgan,Fun!23
150,Richard,Vargas,1/2/88,Employee,557.29004,1,true,richardvargas,Fun!23
151,Derrick,Grant,9/9/52,Employee,8584.303,1,false,derrickgrant,Fun!23
152,Victoria,Martin,2/28/21,Employee,333.91074,2,false,victoriamartin,Fun!23
153,Marissa,Wagner,5/17/89,Employee,167.5413,3,true,marissawagner,Fun!23
154,Stephanie,Harris,12/3/51,Employee,7784.967,5,false,stephanieharris,Fun!23
155,Richard,Blackwell,6/9/36,Employee,1880.3875,6,false,richardblackwell,Fun!23
156,Dylan,Harris,2/6/28,Employee,208.79102,2,false,dylanharris,Fun!23
157,Philip,Zamora,9/16/33,Employee,617.47485,3,true,philipzamora,Fun!23
158,Melanie,Kirk,6/16/47,Employee,3247.4204,1,true,melaniekirk,Fun!23
159,Michael,Moran,7/31/24,Employee,134.9002,4,true,michaelmoran,Fun!23
160,Jason,Burke,12/19/14,Employee,362.99222,6,true,jasonburke,Fun!23
161,Susan,Hill,2/3/29,Employee,182.27039,1,false,susanhill,Fun!23
162,Lauren,Neal,9/9/61,Employee,4026.0076,7,false,laurenneal,Fun!23
163,Jennifer,Williams,4/18/30,Employee,2597.3564,6,true,jenniferwilliams,Fun!23
164,Haley,Moss,5/8/02,Employee,651.0852,5,false,haleymoss,Fun!23
165,Justin,Wilson,9/17/75,Employee,624.085,2,false,justinwilson,Fun!23
166,Craig,Espinoza,11/2/82,Employee,216.05206,7,false,craigespinoza,Fun!23
167,Julie,Alexander,9/1/44,Employee,151.89417,5,false,juliealexander,Fun!23
168,Anthony,Sanchez,2/1/34,Employee,667.28314,3,true,anthonysanchez,Fun!23
169,Thomas,King,4/19/44,Employee,1.7467804,2,false,thomasking,Fun!23
170,Christina,Walker,5/3/81,Employee,211.08008,8,false,christinawalker,Fun!23
171,Linda,Bennett,12/24/34,Employee,341.7374,2,false,lindabennett,Fun!23
172,Karla,Johnson,3/24/33,Employee,91.421875,5,true,karlajohnson,Fun!23
173,Jill,Henderson,3/17/94,Employee,34.859467,2,true,jillhenderson,Fun!23
174,Sandra,Rogers,3/31/47,Employee,914.06226,4,true,sandrarogers,Fun!23
175,Samuel,Harrington,10/15/29,Employee,2088.677,4,false,samuelharrington,Fun!23
176,Andrew,Garcia,12/30/39,Employee,1310.7197,7,false,andrewgarcia,Fun!23
177,James,Pittman,9/23/19,Employee,117.673096,3,true,jamespittman,Fun!23
178,Shannon,Holden,1/19/12,Employee,2244.7905,1,true,shannonholden,Fun!23
179,Renee,Zimmerman,9/4/91,Employee,1419.2175,8,false,reneezimmerman,Fun!23
180,Richard,Brown,8/11/64,Employee,30.36444,5,true,richardbrown,Fun!23
181,Michael,Smith,6/27/14,Employee,2774.3816,3,true,michaelsmith,Fun!23
182,Nathan,Coleman,2/16/38,Employee,1023.9747,1,true,nathancoleman,Fun!23
183,Kimberly,Richardson,9/21/30,Employee,2335.689,8,true,kimberlyrichardson,Fun!23
184,Emily,Richardson,2/18/78,Employee,1229.5256,3,true,emilyrichardson,Fun!23
185,Michael,White,12/21/72,Employee,243.31712,1,true,michaelwhite,Fun!23
186,Cody,Scott,12/3/32,Employee,65.57532,3,true,codyscott,Fun!23
187,Jeremy,Alvarez,2/16/83,Employee,783.6006,2,false,jeremyalvarez,Fun!23
188,Keith,Ortiz,8/23/19,Employee,2230.813,2,false,keithortiz,Fun!23
189,Mark,Ramos,6/25/69,Employee,3568.4316,5,true,markramos,Fun!23
190,Eric,Vazquez,4/18/96,Employee,54.77472,2,false,ericvazquez,Fun!23
191,James,Hammond,7/26/66,Employee,322.5373,2,false,jameshammond,Fun!23
192,Michelle,Maldonado,5/31/24,Employee,83.818146,2,false,michellemaldonado,Fun!23
193,Jeremy,Morris,12/26/79,Employee,326.83005,2,true,jeremymorris,Fun!23
194,Olivia,Romero,5/22/78,Employee,1656.082,2,false,oliviaromero,Fun!23
195,Nicholas,Anderson,10/5/23,Employee,9.143799,3,false,nicholasanderson,Fun!23
196,Kim,Buckley,9/16/61,Employee,904.70996,6,true,kimbuckley,Fun!23
197,Nicole,Rowland,2/19/84,Employee,1331.1315,7,true,nicolerowland,Fun!23
198,Samantha,Howell,4/24/84,Employee,3.6706543,3,true,samanthahowell,Fun!23
199,Jerry,Lee,6/2/74,Employee,1355.0059,3,true,jerrylee,Fun!23
200,James,Nolan,7/31/02,Employee,44.78174,3,true,jamesnolan,Fun!23
201,Sharon,Miller,10/25/37,Employee,926.8567,8,true,sharonmiller,Fun!23
202,Andrew,Parks,9/18/36,Employee,189.62839,3,false,andrewparks,Fun!23
203,Ethan,Holmes,12/4/10,Employee,748.75494,4,false,ethanholmes,Fun!23
204,Mark,Lozano,1/7/87,Employee,2972.146,4,true,marklozano,Fun!23
205,Molly,Cohen,10/27/27,Employee,824.69824,3,false,mollycohen,Fun!23
206,Zachary,Ellison,7/31/74,Employee,1182.9647,7,false,zacharyellison,Fun!23
207,Donna,Allen,1/11/94,Employee,1930.947,2,true,donnaallen,Fun!23
208,Amanda,Miller,4/6/98,Employee,768.1931,2,true,amandamiller,Fun!23
209,Shirley,Foster,12/7/56,Employee,426.1267,2,true,shirleyfoster,Fun!23
210,Jeffrey,Delgado,2/13/99,Employee,41.796875,1,false,jeffreydelgado,Fun!23
211,Brian,Jensen,7/13/86,Employee,1260.9429,2,false,brianjensen,Fun!23
212,Sheila,Lewis,9/12/74,Employee,1404.9075,2,true,sheilalewis,Fun!23
213,Lee,Burke,12/23/89,Employee,252.89912,3,true,leeburke,Fun!23
214,Susan,Alvarez,9/21/19,Employee,834.6148,7,true,susanalvarez,Fun!23
215,Bridget,Wagner,7/21/91,Employee,4107.209,1,false,bridgetwagner,Fun!23
216,Virginia,Phelps,11/13/68,Employee,8.783508,2,false,virginiaphelps,Fun!23
217,Chase,Miller,8/1/47,Employee,1733.9755,6,false,chasemiller,Fun!23
218,Timothy,Romero,3/21/98,Employee,895.93567,3,false,timothyromero,Fun!23
219,Cesar,Jones,3/15/94,Employee,782.1414,4,true,cesarjones,Fun!23
220,Kathryn,Perez,2/13/51,Employee,23.487,1,true,kathrynperez,Fun!23
221,Lisa,Garrett,12/22/41,Employee,2011.4111,8,false,lisagarrett,Fun!23
222,Mark,Lee,9/9/02,Employee,2476.1902,7,true,marklee,Fun!23
223,Kelly,Yu,3/9/20,Employee,984.5037,3,false,kellyyu,Fun!23
224,Christian,Smith,4/26/07,Employee,657.3756,5,false,christiansmith,Fun!23
225,Robert,Park,6/5/11,Employee,634.23517,4,true,robertpark,Fun!23
226,Ariana,Lara,4/2/67,Employee,165.68396,4,true,arianalara,Fun!23
227,Roberto,Gutierrez,12/8/82,Employee,805.2666,4,false,robertogutierrez,Fun!23
228,Maria,Mccarthy,6/3/68,Employee,1312.3368,1,false,mariamccarthy,Fun!23
229,Brittany,Ray,4/10/13,Employee,594.75415,7,false,brittanyray,Fun!23
230,Shannon,Avery,10/28/39,Employee,163.95193,1,true,shannonavery,Fun!23
231,Joanna,Trevino,2/5/88,Employee,263.1789,6,true,joannatrevino,Fun!23
232,Paul,Fisher,8/5/98,Employee,139.69675,6,false,paulfisher,Fun!23
233,Alexander,Kelly,8/17/36,Employee,278.18527,5,true,alexanderkelly,Fun!23
234,Destiny,Ferguson,3/21/84,Employee,7856.8887,1,true,destinyferguson,Fun!23
235,Samantha,May,4/3/60,Employee,64.80609,4,true,samanthamay,Fun!23
236,Joseph,Lewis,1/14/06,Employee,449.5843,2,true,josephlewis,Fun!23
237,Andrew,Campos,4/13/44,Employee,1070.3275,6,false,andrewcampos,Fun!23
238,Jesse,Montgomery,2/7/46,Employee,513.0554,1,false,jessemontgomery,Fun!23
239,Anna,Gutierrez,4/4/70,Employee,75.58307,2,false,annagutierrez,Fun!23
240,Joel,Arellano,9/24/31,Employee,54.987244,6,true,joelarellano,Fun!23
241,Kaylee,Patterson,10/12/32,Employee,545.8748,2,false,kayleepatterson,Fun!23
242,James,Henderson,6/16/00,Employee,1171.7739,6,false,jameshenderson,Fun!23
243,Ashley,Jones,4/4/40,Employee,193.95898,2,false,ashleyjones,Fun!23
244,Erik,Case,10/16/05,Employee,615.8474,2,false,erikcase,Fun!23
245,Dorothy,Cox,7/1/16,Employee,607.84033,1,true,dorothycox,Fun!23
246,Jeffrey,Marquez,2/23/28,Employee,17.9991,1,true,jeffreymarquez,Fun!23
247,David,Gross,12/1/12,Employee,325.0122,3,false,davidgross,Fun!23
248,Christopher,Wright,12/5/76,Employee,489.83456,8,false,christopherwright,Fun!23
249,Jessica,Moore,2/9/63,Employee,1422.0321,3,true,jessicamoore,Fun!23
250,Alejandra,Morris,10/3/13,Employee,359.6797,5,false,alejandramorris,Fun!23
251,Darin,Porter,4/28/05,Employee,834.68945,1,false,darinporter,Fun!23
252,Alexis,Ford,2/21/94,Employee,229.31145,2,true,alexisford,Fun!23
253,Barbara,Robertson,5/29/53,Employee,231.44136,3,true,barbararobertson,Fun!23
254,David,Wright,2/27/69,Employee,113.520996,3,false,davidwright,Fun!23
255,Jessica,Martin,12/29/29,Employee,1322.2786,1,true,jessicamartin,Fun!23
256,Brooke,Padilla,9/24/40,Employee,132.32632,6,true,brookepadilla,Fun!23
257,Susan,Humphrey,2/16/23,Employee,752.92773,4,false,susanhumphrey,Fun!23
258,Robert,Wu,5/25/32,Employee,816.1289,6,false,robertwu,Fun!23
259,Karen,Thomas,11/29/33,Employee,132.86621,8,false,karenthomas,Fun!23
260,Chris,Holden,3/11/71,Employee,447.68457,7,false,chrisholden,Fun!23
261,Matthew,Erickson,11/23/07,Employee,724.4817,5,true,matthewerickson,Fun!23
262,Leroy,Walters,9/30/99,Employee,5202.2744,1,true,leroywalters,Fun!23
263,Brian,Castillo,4/10/32,Employee,1594.1621,3,false,briancastillo,Fun!23
264,James,Romero,9/26/28,Employee,84.09277,7,false,jamesromero,Fun!23
265,Karen,Zhang,2/26/12,Employee,6046.338,7,true,karenzhang,Fun!23
266,David,Thomas,12/9/33,Employee,151.3147,3,true,davidthomas,Fun!23
267,William,Hunter,11/7/41,Employee,78.17676,4,false,williamhunter,Fun!23
268,Craig,Schaefer,11/7/19,Employee,1863.451,7,true,craigschaefer,Fun!23
269,Michelle,Jones,5/4/57,Employee,1409.8713,4,true,michellejones,Fun!23
270,Angelica,Bruce,4/17/72,Employee,428.58356,7,true,angelicabruce,Fun!23
271,Susan,Allen,3/21/92,Employee,278.20312,2,true,susanallen,Fun!23
272,Tanya,Davis,11/30/09,Employee,133.11646,4,false,tanyadavis,Fun!23
273,Mark,Richards,4/28/87,Employee,873.59753,7,false,markrichards,Fun!23
274,Shannon,Bennett,3/18/13,Employee,662.5325,4,true,shannonbennett,Fun!23
275,Robert,Davis,8/25/63,Employee,170.01393,4,true,robertdavis,Fun!23
276,Allison,Chang,11/21/81,Employee,5273.1807,3,true,allisonchang,Fun!23
277,Michael,Williams,7/14/66,Employee,71.447754,2,false,michaelwilliams,Fun!23
278,Susan,Garcia,8/11/03,Employee,1080.0133,2,true,susangarcia,Fun!23
279,Mario,Walker,6/2/91,Employee,214.5509,3,false,mariowalker,Fun!23
280,Mary,Church,1/31/53,Employee,2344.1982,5,true,marychurch,Fun!23
281,Gregory,Sullivan,2/6/45,Employee,28.510986,7,true,gregorysullivan,Fun!23
282,Lauren,Hall,11/18/29,Employee,767.0815,3,true,laurenhall,Fun!23
283,Dawn,King,8/8/30,Employee,437.95947,1,true,dawnking,Fun!23
284,Daniel,Romero,12/27/16,Employee,240.08914,6,true,danielromero,Fun!23
285,Jacqueline,Dunn,6/15/54,Employee,83.270355,2,false,jacquelinedunn,Fun!23
286,Chris,King,5/20/61,Employee,366.9699,7,false,chrisking,Fun!23
287,Tammy,Martinez,11/24/97,Employee,3925.0332,6,false,tammymartinez,Fun!23
288,Dustin,Oliver,5/1/18,Employee,357.3001,7,true,dustinoliver,Fun!23
289,Nicole,Harvey,1/14/93,Employee,592.4309,5,true,nicoleharvey,Fun!23
290,Matthew,Perez,8/23/70,Employee,54.583008,2,false,matthewperez,Fun!23
291,Kristy,Hoover,4/1/59,Employee,348.9406,6,false,kristyhoover,Fun!23
292,Mary,Cruz,6/22/23,Employee,255.26154,7,true,marycruz,Fun!23
293,Alexandra,Robinson,2/10/77,Employee,658.64636,1,false,alexandrarobinson,Fun!23
294,Tami,Alexander,2/13/62,Employee,151.29694,3,false,tamialexander,Fun!23
295,Susan,Davis,10/5/12,Employee,92.57573,1,true,susandavis,Fun!23
296,Jeffrey,Luna,3/30/16,Employee,795.8026,5,false,jeffreyluna,Fun!23
297,Adam,Maldonado,9/10/32,Employee,449.72192,5,false,adammaldonado,Fun!23
298,Maria,Mitchell,3/6/11,Employee,25.755508,2,true,mariamitchell,Fun!23
299,Stephen,Villegas,2/1/88,Employee,22.702576,1,true,stephenvillegas,Fun!23
300,Ryan,Mcconnell,6/28/18,Employee,2398.2964,6,true,ryanmcconnell,Fun!23
301,Theresa,Macias,8/27/00,Employee,128.64001,6,false,theresamacias,Fun!23
302,Lance,Dominguez,11/4/97,Employee,105.84631,7,false,lancedominguez,Fun!23
303,Bradley,Rodriguez,3/7/35,Employee,686.2401,7,false,bradleyrodriguez,Fun!23
304,Gloria,Page,6/5/00,Employee,792.7368,3,false,gloriapage,Fun!23
305,Jasmine,Ramirez,4/30/39,Employee,113.28793,1,true,jasmineramirez,Fun!23
306,David,Mills,5/11/78,Employee,729.32556,5,true,davidmills,Fun!23
307,Elizabeth,Kim,6/2/95,Employee,279.56256,8,false,elizabethkim,Fun!23
308,Laura,Smith,6/17/27,Employee,270.6853,6,true,laurasmith,Fun!23
309,Amy,Bradley,7/8/24,Employee,1507.2817,3,true,amybradley,Fun!23
310,Denise,Morales,4/30/74,Employee,4223.4404,3,false,denisemorales,Fun!23
311,Marissa,Oconnell,12/31/24,Employee,499.82367,3,false,marissaoconnell,Fun!23
312,Gregory,Maxwell,11/28/80,Employee,69.461426,2,false,gregorymaxwell,Fun!23
313,Jenny,Henry,3/20/84,Employee,1437.6696,6,false,jennyhenry,Fun!23
314,Matthew,Campbell,7/18/92,Employee,59.8806,1,false,matthewcampbell,Fun!23
315,Lisa,Gaines,3/18/02,Employee,419.94458,6,false,lisagaines,Fun!23
316,Jonathan,Christian,1/11/35,Employee,550.4675,1,false,jonathanchristian,Fun!23
317,Brenda,Douglas,6/12/68,Employee,202.34326,1,false,brendadouglas,Fun!23
318,Rachel,Phillips,4/16/91,Employee,303.98676,8,false,rachelphillips,Fun!23
319,Jade,Crawford,11/25/80,Employee,453.46533,4,true,jadecrawford,Fun!23
